viejo	nuevo	1.58
listo	inteligente	9.2
dificil	dificultoso	8.77
feliz	alegre	9.55
dificil	fácil	0.95
rápido	veloz	8.75
feliz	contento	9.17
corto	largo	1.23
estúpido	tonto	9.58
raro	extraño	8.93
ancho	estrecho	1.03
malo	horrible	8.42
fácil	dificil	0.58
malo	terrible	7.78
dificil	simple	1.38
listo	tonto	0.55
demente	loco	9.57
feliz	loco	0.95
grande	gigante	9.47
duro	rígido	8.05
nuevo	fresco	6.83
agudo	aburrido	0.6
apresurado	rápido	9.7
tonto	bobo	6.67
maravilloso	genial	8.63
extraño	extraño	10.0
feliz	enojado	1.28
estrecho	amplio	1.18
simple	fácil	9.4
viejo	fresco	0.87
evidente	obvio	8.47
económico	barato	8.72
agradable	generoso	5
raro	normal	0.72
raro	raro	10.0
malo	inmoral	7.62
triste	divertido	0.95
maravilloso	grandioso	8.05
culpable	avergonzado	6.38
hermoso	maravilloso	6.5
confiado	seguro	8.27
tonto	denso	7.27
grande	grande	10.0
agradable	cruel	0.67
impaciente	ansioso	6.03
grande	amplio	6.73
fuerte	orgulloso	3.17
innecesario	necesario	0.63
inquieto	joven	1.6
tonto	inteligente	0.75
malo	grandioso	0.35
dificil	simple	0.87
necesario	importante	7.37
malo	genial	0.65
loco	contento	1.45
honesto	culpable	1.18
fácil	complicado	0.52
fácil	flexible	4.1
cierto	seguro	8.42
esencial	necesario	8.97
diferente	normal	1.08
astuto	astuto	10.0
crucial	importante	8.82
duro	cruel	8.18
infantil	bobo	5.5
escaso	raro	9.17
amigable	generoso	5.9
frágil	frígido	2.38
largo	estrecho	3.57
grande	pesado	6.18
áspero	frigido	2.47
bizarro	extraño	9.37
ilegal	inmoral	4.28
malo	culpable	4.2
moderno	antiguo	0.73
nuevo	antiguo	0.23
aburrido	divertido	0.55
feliz	joven	2
fácil	grande	1.12
grandioso	horrible	1.17
diminuto	gigante	0.6
cortés	adecuado	7.63
modesto	avergonzado	2.65
exótico	raro	8.05
tonto	astuto	1.17
delicioso	maravilloso	8.65
notable	obvio	8.48
miedoso	ansioso	5.07
formal	adecuado	8.02
aburrido	aburrido	10.0
delicioso	alegre	6.58
infeliz	loca	5.95
triste	terrible	5.4
enfermo	loco	3.57
violento	enojado	6.98
cargado	pesado	5.9
sucio	barato	1.6
elástico	flexible	7.78
duro	denso	5.9
reciente	nuevo	7.05
audaz	orgulloso	3.97
astuto	extraño	1.97
extraño	astuto	2.07
tonto	raro	0.48
astuto	gamberro	0.58
genial	loco	0.4
modesto	flexible	0.98
fresco	amplio	0.4
gigante	tonto	0.48
grande	flexible	0.48
sucio	estrecho	0.3
esposa	marido	2.3
libro	texto	6.35
novio	novia	3.17
noche	día	1.88
sur	norte	2.2
avión	aeropuerto	3.65
tío	tía	5.5
caballo	yegua	8.33
inferior	superior	0.7
amigo	compañero	8.78
estudiante	alumno	9.35
mundo	globo	6.67
pierna	brazo	2.88
avión	jet	8.1
mujer	hombre	3.33
caballo	potro	7.07
actriz	actor	7.12
profesor	instructor	9.25
película	film	8.87
ave	halcón	7.85
palabra	diccionario	3.68
dinerio	salario	7.88
perro	gato	1.75
área	región	9.47
marina	ejército	6.43
libro	literatura	7.53
ropa	armario	3.27
atardecer	amanecer	2.47
niño	adulto	2.98
vaca	ganado	9.52
libro	historia	5.63
invierno	verano	2.38
taxi	cab	9.2
árbol	maple	5.53
cama	dormitorio	3.4
techo	techo	10.0
enfermedad	infección	7.15
brazo	hombro	4.85
oveja	cordero	8.42
dama	caballero	3.42
barco	anclaje	2.25
sacerdote	monje	6.28
pie	dedo	4.68
río	corriente	7.3
ira	furia	8.73
fecha	calendario	4.42
mar	océano	8.27
segundo	minuto	4.62
mano	pulgar	3.88
madera	tronco	7.3
barro	suciedad	7.32
pasillo	corredor	9.28
forma	manera	7.62
ratón	gato	1.12
policía	comisario	9.05
muerte	entierro	4.93
música	melodía	6.98
cerveza	alcohol	7.5
boca	labio	7.1
tormenta	huracán	6.38
impuesto	ingreso	2.38
flor	violeta	6.95
papel	cartón	5.38
piso	techo	1.73
playa	costa	8.33
caña	cortina	3.03
perro	zorro	2.38
calle	callejón	5.48
barco	cubierta	4.28
auto	cuerno	2.57
amigo	invitado	4.25
empleador	empleado	3.65
mano	muñeca	3.97
bola	cañón	2.58
alcohol	brandy	6.98
victoria	triunfo	8.98
telefono	cabina	3.63
puerta	portón	5.4
motel	posada	8.17
ropa	paño	5.47
bife	carne	7.47
uña	pulgar	3.55
banda	orquesta	7.08
libro	biblia	5
negocio	industria	7.02
invierno	temporada	6.27
década	siglo	3.48
alcohol	ginebra	8.65
sombrero	saco	2.67
ventana	puerta	3.33
brazo	muñeca	3.57
casa	apartamento	5.8
vidrio	cristal	6.27
vino	brandy	5.15
creador	fabricante	9.62
cena	desayuno	3.33
brazo	músculo	3.72
burbuja	espuma	8.57
pan	harina	3.33
muerte	tragedia	5.8
ausencia	presencia	0.4
arma	cañón	5.68
hierba	cuchilla	4.57
pelota	cesto	1.67
manguera	jardín	1.67
muchacho	niño	7.5
iglesia	coro	2.95
ropa	cajón	3.02
torre	campana	1.9
padre	progenitor	7.07
escuela	grado	4.42
padre	adulto	5.37
bar	cárcel	1.9
auto	autopista	3.4
diccionario	definición	6.25
puerta	sótano	1.97
