# CUIDADO: HAY MULTIWORDS CON _ Y TERMINOS EN PLURAL
#Word 1	Word 2	Human (mean)
amor	sexo	6.77
tigre	gato	7.35
tigre	tigre	10.00
libro	papel	7.46
ordenador	teclado	7.62
ordenador	internet	7.58
avión	coche	5.77
tren	coche	6.31
teléfono	comunicación	7.50
televisión	radio	6.77
medios	radio	7.42
droga	abuso	6.85
pan	mantequilla	6.19
pepino	patata	5.92
doctor	enfermera	7.00
profesor	doctor	6.62
estudiante	profesor	6.81
inteligente	estudiante	4.62
inteligente	estúpido	5.81
compañía	acciones	7.08
existencias	mercado	8.08
existencias	teléfono	1.62
existencias	CD	1.31
existencias	jaguar	0.92
existencias	huevo	1.81
fertilidad	huevo	6.69
existencias	vida	3.73
existencias	vivo	0.92
libro	biblioteca	7.46
banco	dinero	8.12
madera	bosque	7.73
dinero	efectivo	9.15
profesor	pepino	0.31
rey	berza	0.23
rey	reina	8.58
rey	grajo	5.92
obispo	rabino	6.69
Jerusalén	Israel	8.46
Jerusalén	palestino	7.65
santo	sexo	1.62
joder	sexo	9.44
Maradona	fútbol	8.62
fútbol	balompié	9.03
fútbol	baloncesto	6.81
fútbol	tenis	6.63
tenis	raqueta	7.56
Arafat	paz	6.73
Arafat	terror	7.65
Arafat	Jackson	2.50
ley	abogado	8.38
película	estrella	7.38
película	palomitas	6.19
película	crítico	6.73
película	teatro	7.92
física	protón	8.12
física	química	7.35
espacio	química	4.88
alcohol	química	5.54
vodka	ginebra	8.46
vodka	coñac	8.13
bebida	coche	3.04
bebida	oreja	1.31
bebida	boca	5.96
bebida	comida	6.87
bebé	madre	7.85
bebida	madre	2.65
coche	automóvil	8.94
gema	joya	8.96
viajar	viaje	9.29
chico	chaval	8.83
costa	orilla	9.10
asilo	manicomio	8.87
mago	hechicero	9.02
mediodía	mediodía	9.29
horno	estufa	8.79
comida	fruta	7.52
pájaro	gallo	7.10
pájaro	grulla	7.38
herramienta	utensilio	6.46
hermano	monje	6.27
grulla	utensilio	2.69
chaval	hermano	4.46
viaje	coche	5.85
monje	oráculo	5.00
cementerio	bosque	2.08
comida	gallo	4.42
costa	colina	4.38
bosque	cementerio	1.85
orilla	bosque	3.08
monje	esclavo	0.92
costa	bosque	3.15
chaval	hechicero	0.92
acorde	sonrisa	0.54
vaso	mago	2.08
mediodía	cuerda	0.54
gallo	viaje	0.62
dinero	dólar	8.42
dinero	moneda	9.04
dinero	riqueza	8.27
dinero	propiedad	7.57
dinero	posesión	7.29
dinero	banco	8.50
dinero	depósito	7.73
dinero	retirada	6.88
dinero	lavado	5.65
dinero	operación	3.31
tigre	jaguar	8.00
tigre	felino	8.00
tigre	carnívoro	7.08
tigre	mamífero	6.85
tigre	animal	7.00
tigre	organismo	4.77
tigre	fauna	5.62
tigre	zoo	5.87
psicología	psiquiatra	8.08
psicología	ansiedad	7.00
psicología	miedo	6.85
psicología	depresión	7.42
psicología	clínica	6.58
psicología	doctor	6.42
psicología	Freud	8.21
psicología	mente	7.69
psicología	salud	7.23
psicología	ciencia	6.71
psicología	disciplina	5.58
psicología	cognición	7.48
planeta	estrella	8.45
planeta	constelación	8.06
planeta	luna	8.08
planeta	sol	8.02
planeta	galaxia	8.11
planeta	espacio	7.92
planeta	astrónomo	7.94
precedente	ejemplo	5.85
precedente	información	3.85
precedente	cognición	2.81
precedente	ley	6.65
precedente	colección	2.50
precedente	grupo	1.77
precedente	antecedente	6.04
copa	café	6.58
copa	vajilla	6.85
copa	artículo	2.40
copa	artefacto	2.92
copa	objeto	3.69
copa	entidad	2.15
copa	bebida	7.25
copa	comida	5.00
copa	sustancia	1.92
copa	líquido	5.90
jaguar	gato	7.42
jaguar	coche	7.27
energía	secretario	1.81
secretario	senado	5.06
energía	laboratorio	5.09
ordenador	laboratorio	6.78
arma	secreto	6.06
FBI	huella_dactilar	6.94
FBI	investigación	8.31
investigación	esfuerzo	4.59
Marte	agua	2.94
Marte	científico	5.63
noticias	informe	8.16
cañón	paisaje	7.53
imagen	superficie	4.56
descubrimiento	espacio	6.34
agua	filtración	6.56
signo	hueco	2.38
miércoles	noticias	2.22
milla	kilómetro	8.66
ordenador	noticias	4.47
territorio	superficie	5.34
atmósfera	paisaje	3.69
presidente	medalla	3.00
guerra	tropas	8.13
registro	número	6.31
piel	ojo	6.22
japonés	americano	6.50
teatro	historia	3.91
voluntario	lema	2.56
prejuicio	reconocimiento	3.00
decoración	valor	5.63
siglo	año	7.59
siglo	nación	3.16
retraso	racismo	1.19
retraso	noticias	3.31
ministro	partido	6.63
paz	plan	4.75
minoría	paz	3.69
intento	paz	4.25
gobierno	crisis	6.56
despliegue	marcha	4.25
despliegue	retirada	5.88
energía	crisis	5.94
declaración	noticias	7.56
declaración	esfuerzo	2.75
ataque	hospital	7.03
incapacidad	muerte	5.47
víctima	emergencia	6.47
tratamiento	recuperación	7.91
revista	asociación	4.97
doctor	personal	5.00
doctor	responsabilidad	5.19
responsabilidad	seguro	7.03
escuela	centro	3.44
razón	hipertensión	2.31
razón	criterio	5.91
cien	por_ciento	7.38
Harvard	Yale	8.13
hospital	infraestructura	4.63
muerte	fila	5.25
muerte	preso	5.03
abogado	evidencia	6.69
vida	muerte	7.88
vida	término	4.50
palabra	similitud	4.75
comité	recomendación	4.47
gobernador	entrevista	3.25
OPEC	país	5.63
paz	atmósfera	3.69
paz	seguro	2.94
territorio	kilómetro	5.28
viaje	actividad	5.00
competición	precio	6.44
consumidor	confianza	4.13
consumidor	energía	4.75
problema	aeropuerto	2.38
coche	vuelo	4.94
crédito	tarjeta	8.06
crédito	información	5.31
hotel	reserva	8.03
tienda	dinero	5.94
registro	arreglo	6.00
