newswiretxt	NA	2017	360	3	Agencias La Policía de Gales del Sur mató a un hombre al que sorprendió comiéndose la cara de una mujer de 22 años en la habitación de un hotel.	La policía abatió a un caníbal cuando devoraba a una mujer Matthew Williams, de 34 años, fue sorprendido en la madrugada mordiendo el rostro de una joven a la que había invitado a su hotel.
main-captions	MSRvid	2012train	0083	2.200	A kid is playing guitar.	A man is playing a guitar.
newstxt	NA	2017	168	0.4	La concentración, celebrada en la emblemática plaza de la Independencia de la capital, ha habido rezos tradicionales y han intervenido los dirigentes de la oposición para pedir a sus seguidores "aprender a perdonar y rezar por los heridos y presos".	 Ejército pide a Yanukovich que adopte "medidas" urgentes califica de "irresponsable" a la oposición por seguir la "escalada"
wikipediatxt	NA	2017	91	2.8	En la filosofía shramánica, "nirvana" es el estado de liberación tanto del sufrimiento (dukkha) como del ciclo de renacimientos.	El nirvana es el estado transcendente libre de sufrimiento y de la existencia fenoménica individual; es la experiencia religiosa más identificada con el budismo.
main-forum	deft-forum	2014	0405	0.8	Where in the world is Ron Paul?	Where in the world is the MEDIA??
main-news	headlines	2016	0201	4	Captain of sunken South Korean ferry arrested	Captain of capsized S Korean Ferry Arrested	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)
main-captions	MSRvid	2012train	0302	3.600	A chicken is pecking at a dead mouse.	A rooster pecks at a dead mouse.
main-news	headlines	2015	0760	4.40	Fire destroys ancient Tibetan town in China	Fire destroys Tibetan town in China
main-news	headlines	2013	0350	3.4	EU slaps sanctions on Assad family	EU sanctions Assad's wife; mortars hit Homs
main-forum	deft-forum	2014	0143	2	My parents have told me it is bad for you.	officers have told me its bad for you.
main-captions	images	2014	0600	1.8	A black and white photo of a love seat.	A black and white photo of a bicycle.
main-captions	MSRvid	2012train	0544	0.400	A man is slicing a bun.	A man is breaking pots.
li65txt	NA	2017	52	1.93	En tiempos antiguos, los siervos eran una clase de personas que tenían que trabajar en el terreno de una persona en particular y no podían abandonarla sin el permiso de esa persona.	Un esclavo es alguien que es propiedad de otra persona y tiene que trabajar para esa persona.
newswiretxt	NA	2017	94	2.6	El equipo, compuesto por investigadores de la Universidad de Tokio y del prestigioso instituto de investigación Riken, logró tornar los ratones transparentes tras administrarles un compuesto químico.	La investigación, llevada a cabo por científicos de la Universidad de Tokio y del instituto Riken, se realizó a través de un cóctel de sustancias químicas, conocido en el sector como CUBIC, que decolora la sangre y permite la invisibilidad de la capa exterior.
